"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329","220","0.0",2.2,"26.4","44.00",NA,NA,NA,"200","0.0",2,"0.0","40.00",NA,NA,NA,"220","0.0",2.2,"26.5","44.00",NA,NA,NA,"240","0.0",2.4,"24.5","48.00",NA,NA,NA,"250","0.0",2.5,"25.1","50.00",NA,NA,NA,"210","0.0",2.1,"26.2","42.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","250","0.0",2.5,NA,"50.00",2026-03-02
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/deni-avdija-odds-5152","1000","0.0",10,"7.7","200.00",NA,NA,NA,"1000","0.0",10,"0.0","200.00",NA,NA,NA,"1000","0.0",10,"7.7","200.00",NA,NA,NA,"-120","0.0",0.833333333333333,"45.5","16.67",NA,NA,NA,"1100","0.0",11,"7.3","220.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1100","0.0",11,NA,"220.00",2026-03-02
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765","1500","0.0",15,"5.3","300.00",NA,NA,NA,"1600","0.0",16,"0.0","320.00",NA,NA,NA,"1700","0.0",17,"4.7","340.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"2000","0.0",20,"4.2","400.00",NA,NA,NA,"1500","0.0",15,"5.1","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2000","0.0",20,NA,"400.00",2026-03-02
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/jalen-duren-odds-5703","-120","0.0",0.833333333333333,"46.1","16.67",NA,NA,NA,"-120","0.0",0.833333333333333,"0.0","16.67",NA,NA,NA,"-130","0.0",0.769230769230769,"48.0","15.38",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"-140","0.0",0.714285714285714,"51.3","14.29",NA,NA,NA,"-120","0.0",0.833333333333333,"44.4","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2026-03-02
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/keyonte-george-odds-5899","2500","0.0",25,"3.2","500.00",NA,NA,NA,"3500","0.0",35,"0.0","700.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"800","0.0",8,"9.3","160.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2026-03-02
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/ryan-rollins-odds-5668","1000","0.0",10,"7.7","200.00",NA,NA,NA,"1000","0.0",10,"0.0","200.00",NA,NA,NA,"1100","0.0",11,"7.1","220.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"1200","0.0",12,"6.8","240.00",NA,NA,NA,"700","0.0",7,"10.2","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-03-02
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",2026-03-02
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7500","0.0",75,"0.0","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2026-03-02
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-03-02
"Most Improved Player","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-03-02
