"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/jalen-duren-odds-5703","175","0.0",1.75,"24.2","35.00",NA,NA,NA,"170","0.0",1.7,"26.5","34.00",NA,NA,NA,"200","0.0",2,"25.6","40.00",NA,NA,NA,"180","0.0",1.8,"25.4","36.00",NA,NA,NA,"170","0.0",1.7,"30.1","34.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","200","0.0",2,NA,"40.00",2025-11-27
"Most Improved Player","5366","Josh","Giddey","Josh Giddey","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/josh-giddey-odds-5366","450","0.0",4.5,"12.1","90.00",NA,NA,NA,"450","0.0",4.5,"13.0","90.00",NA,NA,NA,"450","0.0",4.5,"14.0","90.00",NA,NA,NA,"450","0.0",4.5,"12.9","90.00",NA,NA,NA,"475","0.0",4.75,"14.1","95.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","475","0.0",4.75,NA,"95.00",2025-11-27
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/deni-avdija-odds-5152","400","0.0",4,"13.3","80.00",NA,NA,NA,"500","0.0",5,"11.9","100.00",NA,NA,NA,"350","0.0",3.5,"17.1","70.00",NA,NA,NA,"450","0.0",4.5,"12.9","90.00",NA,NA,NA,"450","0.0",4.5,"14.8","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","500","0.0",5,NA,"100.00",2025-11-27
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/ryan-rollins-odds-5668","850","0.0",8.5,"7.0","170.00",NA,NA,NA,"850","0.0",8.5,"7.5","170.00",NA,NA,NA,"650","0.0",6.5,"10.2","130.00",NA,NA,NA,"750","0.0",7.5,"8.4","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","850","0.0",8.5,NA,"170.00",2025-11-27
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/jalen-johnson-odds-5329","2200","0.0",22,"2.9","440.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"2200","0.0",22,"3.5","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-11-27
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/keyonte-george-odds-5899","1800","0.0",18,"3.5","360.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2025-11-27
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/collin-gillespie-odds-5732",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-11-27
"Most Improved Player","5698","Bennedict","Mathurin","Bennedict Mathurin","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7","/betting/nba/player/bennedict-mathurin-odds-5698","3000","0.0",30,"2.1","600.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-11-27
"Most Improved Player","5334","Austin","Reaves","Austin Reaves","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7","/betting/nba/player/austin-reaves-odds-5334","3000","0.0",30,"2.1","600.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-11-27
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/nickeil-alexander-walker-odds-4765","5000","0.0",50,"1.3","1,000.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-11-27
